rank,token_id,count,frequency,cumulative_freq
466,1617,250,0.052666172306862616,71.74691586894973
467,1002,250,0.052666172306862616,71.79958204125658
468,1595,250,0.052666172306862616,71.85224821356344
469,1283,250,0.052666172306862616,71.9049143858703
470,1693,250,0.052666172306862616,71.95758055817716
471,995,249,0.05245550761763516,72.0100360657948
472,26,249,0.05245550761763516,72.06249157341243
473,1744,249,0.05245550761763516,72.11494708103007
474,146,248,0.05224484292840772,72.16719192395847
475,1083,248,0.05224484292840772,72.21943676688687
476,1615,247,0.05203417823918026,72.27147094512605
477,895,247,0.05203417823918026,72.32350512336524
478,147,247,0.05203417823918026,72.37553930160442
479,1536,247,0.05203417823918026,72.4275734798436
480,1278,247,0.05203417823918026,72.47960765808278
481,571,245,0.05161284886072536,72.53122050694351
482,311,244,0.05140218417149791,72.582622691115
483,293,243,0.05119151948227046,72.63381421059728
484,1558,243,0.05119151948227046,72.68500573007955
485,1728,243,0.05119151948227046,72.73619724956183
486,901,243,0.05119151948227046,72.7873887690441
487,1422,243,0.05119151948227046,72.83858028852637
488,1732,243,0.05119151948227046,72.88977180800865
489,797,243,0.05119151948227046,72.94096332749092
490,1644,243,0.05119151948227046,72.9921548469732
491,1241,242,0.05098085479304301,73.04313570176623
492,166,242,0.05098085479304301,73.09411655655927
493,288,242,0.05098085479304301,73.14509741135231
494,234,241,0.05077019010381556,73.19586760145613
495,1396,241,0.05077019010381556,73.24663779155995
496,1510,241,0.05077019010381556,73.29740798166377
497,1206,241,0.05077019010381556,73.34817817176759
498,1058,241,0.05077019010381556,73.3989483618714
499,1639,241,0.05077019010381556,73.44971855197522
500,1717,240,0.05055952541458811,73.50027807738981
501,10,240,0.05055952541458811,73.55083760280439
502,1042,240,0.05055952541458811,73.60139712821898
503,1676,240,0.05055952541458811,73.65195665363356
504,1585,239,0.05034886072536066,73.70230551435893
505,1630,239,0.05034886072536066,73.75265437508429
506,1642,238,0.05013819603613321,73.80279257112042
507,1445,238,0.05013819603613321,73.85293076715655
508,1734,238,0.05013819603613321,73.90306896319268
509,606,237,0.04992753134690575,73.95299649453959
510,121,236,0.04971686665767831,74.00271336119727
511,344,236,0.04971686665767831,74.05243022785494
512,1376,235,0.04950620196845086,74.1019364298234
513,1381,235,0.04950620196845086,74.15144263179185
514,1001,235,0.04950620196845086,74.20094883376031
515,1302,235,0.04950620196845086,74.25045503572876
516,1247,235,0.04950620196845086,74.29996123769722
517,387,234,0.0492955372792234,74.34925677497644
518,951,234,0.0492955372792234,74.39855231225566
519,32,234,0.0492955372792234,74.44784784953488
520,1702,234,0.0492955372792234,74.4971433868141
521,1724,234,0.0492955372792234,74.54643892409332
522,1773,234,0.0492955372792234,74.59573446137254
523,1775,233,0.04908487258999595,74.64481933396254
524,1383,233,0.04908487258999595,74.69390420655255
525,254,232,0.048874207900768504,74.74277841445331
526,888,232,0.048874207900768504,74.79165262235408
527,1782,232,0.048874207900768504,74.84052683025484
528,1008,232,0.048874207900768504,74.88940103815561
529,1601,231,0.04866354321154105,74.93806458136716
530,194,231,0.04866354321154105,74.9867281245787
531,560,230,0.04845287852231361,75.03518100310102
532,25,230,0.04845287852231361,75.08363388162333
533,72,229,0.048242213833086155,75.13187609545642
534,1155,229,0.048242213833086155,75.18011830928951
535,298,228,0.0480315491438587,75.22814985843337
536,1186,228,0.0480315491438587,75.27618140757723
537,419,228,0.0480315491438587,75.32421295672108
538,20,228,0.0480315491438587,75.37224450586494
539,45,228,0.0480315491438587,75.4202760550088
540,1354,228,0.0480315491438587,75.46830760415266
541,1747,228,0.0480315491438587,75.51633915329651
542,93,228,0.0480315491438587,75.56437070244037
543,1077,227,0.04782088445463125,75.61219158689501
544,1689,226,0.0476102197654038,75.65980180666041
545,73,226,0.0476102197654038,75.70741202642581
546,813,226,0.0476102197654038,75.75502224619122
547,1236,226,0.0476102197654038,75.80263246595662
548,1435,225,0.04739955507617635,75.8500320210328
549,576,225,0.04739955507617635,75.89743157610899
550,870,225,0.04739955507617635,75.94483113118517
551,1552,224,0.0471888903869489,75.99202002157212
552,1450,224,0.0471888903869489,76.03920891195907
553,537,224,0.0471888903869489,76.08639780234601
554,1520,223,0.04697822569772145,76.13337602804374
555,1420,223,0.04697822569772145,76.18035425374147
556,131,223,0.04697822569772145,76.2273324794392
557,1451,223,0.04697822569772145,76.27431070513693
558,785,223,0.04697822569772145,76.32128893083465
559,1669,222,0.046767561008494,76.36805649184315
560,1362,222,0.046767561008494,76.41482405285164
561,550,222,0.046767561008494,76.46159161386014
562,1673,221,0.04655689631926655,76.5081485101794
563,247,221,0.04655689631926655,76.55470540649866
564,552,221,0.04655689631926655,76.60126230281791
565,372,220,0.0463462316300391,76.64760853444795
566,865,220,0.0463462316300391,76.693954766078
567,874,220,0.0463462316300391,76.74030099770803
568,1706,220,0.0463462316300391,76.78664722933807
569,213,220,0.0463462316300391,76.83299346096811
570,1715,220,0.0463462316300391,76.87933969259815
571,507,220,0.0463462316300391,76.92568592422819
572,253,220,0.0463462316300391,76.97203215585823
573,1258,219,0.04613556694081165,77.01816772279903
574,1527,219,0.04613556694081165,77.06430328973984
575,719,219,0.04613556694081165,77.11043885668064
576,1784,218,0.0459249022515842,77.15636375893223
577,1514,218,0.0459249022515842,77.20228866118381
578,1490,218,0.0459249022515842,77.2482135634354
579,1590,217,0.04571423756235675,77.29392780099775
580,1713,217,0.04571423756235675,77.3396420385601
581,656,217,0.04571423756235675,77.38535627612245
582,928,217,0.04571423756235675,77.4310705136848
583,142,216,0.0455035728731293,77.47657408655793
584,682,216,0.0455035728731293,77.52207765943106
585,1239,216,0.0455035728731293,77.56758123230419
586,1787,216,0.0455035728731293,77.61308480517732
587,1509,215,0.045292908183901845,77.65837771336122
588,1609,215,0.045292908183901845,77.70367062154511
