file_id,speaker,utt,kind,material,layer_idx,module_path,stage,abs_mean,rms,temp_std,delta_rms
boy4_box_001,boy4,001,ldv,box,14,encoder.model[10].block[3],residual,1.2427998781204224,2.628488302230835,1.459145188331604,2.940300941467285
boy4_box_001,boy4,001,ldv,box,15,encoder.model[10].shortcut,residual,3.408487319946289,14.252607345581055,2.849039077758789,3.127856492996216
boy4_box_001,boy4,001,ldv,box,16,encoder.model[12],downsample,0.2168254256248474,0.4403105676174164,0.21806015074253082,0.3747525215148926
boy4_box_001,boy4,001,ldv,box,17,encoder.model[15],projection,0.19972364604473114,0.25717687606811523,0.222157821059227,0.2592906355857849
boy7_box_001,boy7,001,ldv,box,0,encoder.model[0],stem,0.18348924815654755,0.39335575699806213,0.32706454396247864,0.04137871041893959
boy7_box_001,boy7,001,ldv,box,1,encoder.model[1].block[1],residual,0.6136317253112793,1.3819648027420044,1.0019713640213013,0.1463344842195511
boy7_box_001,boy7,001,ldv,box,2,encoder.model[1].block[3],residual,0.8481630682945251,1.639168620109558,1.3232345581054688,0.20863863825798035
boy7_box_001,boy7,001,ldv,box,3,encoder.model[1].shortcut,residual,0.5917909741401672,1.2027028799057007,1.0482165813446045,0.12614522874355316
boy7_box_001,boy7,001,ldv,box,4,encoder.model[3],downsample,3.112542152404785,6.825195789337158,4.82791805267334,1.5420997142791748
boy7_box_001,boy7,001,ldv,box,5,encoder.model[4].block[1],residual,8.088590621948242,15.873194694519043,11.70241928100586,4.43939733505249
boy7_box_001,boy7,001,ldv,box,6,encoder.model[4].block[3],residual,8.05151653289795,14.49122428894043,12.471457481384277,8.732564926147461
boy7_box_001,boy7,001,ldv,box,7,encoder.model[4].shortcut,residual,1.8670305013656616,4.417254447937012,2.9696102142333984,1.3078511953353882
boy7_box_001,boy7,001,ldv,box,8,encoder.model[6],downsample,11.58001708984375,22.41639518737793,17.921218872070312,23.16998863220215
boy7_box_001,boy7,001,ldv,box,9,encoder.model[7].block[1],residual,13.899447441101074,25.335540771484375,20.709217071533203,29.633127212524414
boy7_box_001,boy7,001,ldv,box,10,encoder.model[7].block[3],residual,6.704505920410156,16.304197311401367,10.393864631652832,16.32001495361328
boy7_box_001,boy7,001,ldv,box,11,encoder.model[7].shortcut,residual,4.492127895355225,11.199258804321289,6.9413957595825195,9.886275291442871
boy7_box_001,boy7,001,ldv,box,12,encoder.model[9],downsample,5.566035270690918,12.2545166015625,7.464786529541016,16.051536560058594
boy7_box_001,boy7,001,ldv,box,13,encoder.model[10].block[1],residual,4.6628007888793945,11.495948791503906,5.896237850189209,8.67429256439209
boy7_box_001,boy7,001,ldv,box,14,encoder.model[10].block[3],residual,0.9978623390197754,2.369655132293701,1.3285952806472778,2.560953378677368
